#{"t_start": 1603650717.9308026, "env_id": "CarlaGymEnv-v5522"}
r,l,t
-9.482803,3,16.902465
-46.634136,15,52.842789
13.952877,4,60.642645
-39.54976,15,98.288985
-6.766366,4,105.745744
1.222642,3,110.893519
-10.290654,3,115.923783
-9.68154,2,119.175597
-17.198804,6,132.254321
-34.61459,11,156.769885
-28.230814,6,169.811941
-7.922711,7,184.341469
-7.958536,11,207.713196
-0.410506,4,215.305491
-9.983733,2,218.379529
-9.913441,4,227.619433
-8.737479,2,230.696906
-7.801851,9,249.817342
-9.177928,2,252.987968
23.326957,15,288.189831
-7.204014,3,293.433023
-19.016515,5,303.838897
8.943923,5,313.967975
-0.709584,14,346.032187
-20,2,348.94228
-8.550762,6,361.666121
-9.875975,3,367.608057
-8.812739,5,378.24899
-5.493364,5,389.419518
-8.86152,4,397.186367
-29.237442,5,408.379494
-9.570557,5,418.867771
-8.886033,14,451.741198
-0.427062,7,466.624619
-23.403342,12,493.98999
-9.434191,4,501.737169
-6.64518,10,523.098383
9.407455,3,528.070475
-7.172643,2,531.228993
-10.76768,6,544.100556
-17.209055,13,570.826172
-9.728415,6,583.739423
-8.967388,7,598.8416
-28.830108,7,614.328896
16.888325,15,649.318188
13.215714,7,663.669081
25.58143,15,699.366541
-24.467754,15,736.009786
-7.431797,3,741.446004
-0.855767,3,747.542295
-24.978928,8,765.937563
-27.753564,6,779.309972
-29.353822,15,816.531882
-9.576236,2,819.451937
-28.788442,8,838.032112
-8.210411,3,843.511445
-19.913049,4,851.465489
-31.030038,9,870.772587
-30,3,876.016451
-23.669667,8,895.091532
-6.508087,7,910.689821
-21.90013,9,931.78593
-5.329723,10,954.358022
-25.697521,9,974.880125
-27.528412,7,989.615899
58.007857,14,1020.811573
-8.501803,12,1048.320034
-5.055179,4,1056.455921
-19.915455,4,1064.707094
0.508927,8,1082.183696
-17.563963,8,1100.50659
-9.971333,3,1106.111696
6.466356,3,1111.016217
-9.806886,5,1121.41592
9.553719,4,1128.577644
-2.919327,3,1133.938129
-34.131617,6,1147.406584
-18.819739,6,1160.290525
-18.187023,12,1187.767799
-42.599917,10,1210.11681
-28.410313,9,1229.98585
16.013394,7,1245.160418
-8.042503,3,1250.281207
-29.237747,15,1288.76698
62.138512,13,1314.715626
-6.554739,5,1324.773507
