#{"t_start": 1599237052.6880505, "env_id": "CarlaGymEnv-v5522"}
r,l,t
3.488736,10,67.343197
5.565113,10,91.211881
2.441763,10,115.231537
31.924407,9,135.358372
0.493377,10,160.642499
3.214592,10,185.614574
0.414305,11,213.304657
7.931007,10,236.833397
0.035522,11,266.060517
0.052881,11,295.562041
2.07376,10,319.326937
-8.315098,10,344.46084
11.92433,10,367.196846
1.179314,10,392.260685
0.232848,11,421.954028
0.150098,11,451.560805
0.404388,11,480.724506
17.098241,10,503.876274
0.332163,11,532.007298
3.648399,10,556.145977
6.368845,9,576.100193
3.220184,10,600.67495
1.510408,10,625.278078
-29.787491,11,653.909253
-3.033301,6,666.007703
-8.932346,10,689.790149
-12.689582,10,714.648365
0.581085,10,742.100974
0.464902,10,767.520713
2.761398,3,772.842945
-67.931633,10,796.531841
-85.451648,10,819.861685
-110,11,848.757095
-99.909577,11,876.868692
-90,9,896.569103
-99.998469,11,925.893631
-99.59835,11,954.077529
-7.090446,2,957.097912
-8.250306,2,960.249756
-66.68954,10,984.792604
-69.937306,10,1009.72531
3.21681,10,1033.315209
0.859753,10,1058.76977
6.302241,11,1088.170631
1.66062,10,1112.627264
0.083147,11,1145.056094
0.33907,11,1174.008005
0.913292,10,1199.026428
0.092606,11,1228.256256
0.403041,10,1253.903225
0.752321,10,1277.891153
11.489659,10,1300.221588
0.337943,11,1328.753038
3.372943,10,1353.496597
6.91452,10,1379.980324
22.37672,10,1402.900966
0.34821,10,1431.131665
1.723429,10,1455.37615
0.846309,11,1483.981038
-76.726114,9,1503.505247
-68.609508,10,1527.448456
-9.903643,3,1532.9964
-110,11,1562.730194
-59.545919,10,1584.572474
-89.916029,11,1613.037439
-89.898386,10,1636.902587
-76.831846,10,1661.762561
-77.625881,10,1685.296282
-74.746446,10,1712.129713
-99.972723,11,1741.608193
-100,10,1765.35705
-69.185957,10,1792.147467
-9.831929,2,1795.329144
-100,10,1817.737236
-99.993223,11,1846.184592
-100,10,1873.615868
-100,10,1898.668223
-4.134993,2,1901.515987
9.443558,3,1906.20236
-100,10,1929.476335
-9.876161,2,1932.228822
-99.987714,11,1960.630628
-90,9,1979.014999
-89.923281,11,2008.1796
-100,10,2033.186386
-99.988264,11,2061.393028
-66.362375,10,2084.952924
-100,10,2109.363711
0.260543,3,2114.967739
-9.947835,2,2118.551515
-99.99926,11,2146.725219
-78.137151,10,2171.209154
-9.230006,2,2174.359655
-86.663521,10,2198.78657
-69.240121,10,2222.748008
-0.218538,3,2227.970707
